LineId,Month,Day,Time,Host,Process,Pid,Content,EventId,EventTemplate,ParameterList
40,Jun,14,00:01:58,secops-01,sshd,17745,Failed password for guest from 198.51.100.250 port 7136 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['guest', '198.51.100.250', '7136']"
41,Jun,14,00:02:00,secops-01,sshd,11921,Disconnected from authenticating user test 203.0.113.104 port 60166 [preauth],S06,Disconnected from authenticating user <*> <*> port <*> [preauth],"['test', '203.0.113.104', '60166']"
42,Jun,14,00:02:04,secops-01,sshd,24909,Invalid user git from 203.0.113.202 port 52478,S05,Invalid user <*> from <*> port <*>,"['git', '203.0.113.202', '52478']"
43,Jun,14,00:02:06,secops-01,sshd,25947,Disconnected from authenticating user www-data 192.0.2.144 port 44400 [preauth],S06,Disconnected from authenticating user <*> <*> port <*> [preauth],"['www-data', '192.0.2.144', '44400']"
44,Jun,14,00:02:06,secops-01,sshd,27766,Failed password for invalid user ec2-user from 192.0.2.150 port 49241 ssh2,S02,Failed password for invalid user <*> from <*> port <*> ssh2,"['ec2-user', '192.0.2.150', '49241']"
45,Jun,14,00:02:08,secops-01,sudo,37811,pam_unix(sudo:session): session opened for user root by root(uid=1001),U01,pam_unix(sudo:session): session opened for user <*> by <*>(uid=<*>),"['root', 'root', '1001']"
46,Jun,14,00:02:09,secops-01,sshd,29498,Failed password for guest from 203.0.113.49 port 5514 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['guest', '203.0.113.49', '5514']"
47,Jun,14,00:02:10,secops-01,sshd,23230,input_userauth_request: invalid user ec2-user [preauth],S12,input_userauth_request: invalid user <*> [preauth],['ec2-user']
48,Jun,14,00:02:15,secops-01,kernel,,[UFW ALLOW] IN=eth0 OUT= SRC=203.0.113.12 DST=10.0.9.22 PROTO=TCP SPT=28498 DPT=8443,F03,[UFW ALLOW] IN=<*> OUT= SRC=<*> DST=<*> PROTO=TCP SPT=<*> DPT=<*>,"['eth0', '203.0.113.12', '10.0.9.22', '28498', '8443']"
49,Jun,14,00:02:19,secops-01,kernel,,[UFW ALLOW] IN=eth0 OUT= SRC=198.51.100.82 DST=10.0.3.69 PROTO=TCP SPT=26962 DPT=443,F03,[UFW ALLOW] IN=<*> OUT= SRC=<*> DST=<*> PROTO=TCP SPT=<*> DPT=<*>,"['eth0', '198.51.100.82', '10.0.3.69', '26962', '443']"
50,Jun,14,00:02:20,secops-01,sshd,25017,Connection closed by authenticating user backup 198.51.100.20 port 1634 [preauth],S07,Connection closed by authenticating user <*> <*> port <*> [preauth],"['backup', '198.51.100.20', '1634']"
51,Jun,14,00:02:21,secops-01,sshd,21436,Failed password for ec2-user from 203.0.113.35 port 62186 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['ec2-user', '203.0.113.35', '62186']"
52,Jun,14,00:02:21,secops-01,kernel,,[UFW BLOCK] IN=ens3 OUT= SRC=203.0.113.114 DST=10.0.8.182 PROTO=TCP SPT=20849 DPT=8443,F01,[UFW BLOCK] IN=<*> OUT= SRC=<*> DST=<*> PROTO=TCP SPT=<*> DPT=<*>,"['ens3', '203.0.113.114', '10.0.8.182', '20849', '8443']"
53,Jun,14,00:02:22,secops-01,sshd,19810,input_userauth_request: invalid user guest [preauth],S12,input_userauth_request: invalid user <*> [preauth],['guest']
54,Jun,14,00:02:26,secops-01,kernel,,[UFW ALLOW] IN=eth0 OUT= SRC=203.0.113.229 DST=10.0.1.192 PROTO=TCP SPT=37280 DPT=443,F03,[UFW ALLOW] IN=<*> OUT= SRC=<*> DST=<*> PROTO=TCP SPT=<*> DPT=<*>,"['eth0', '203.0.113.229', '10.0.1.192', '37280', '443']"
55,Jun,14,00:02:33,secops-01,sshd,18650,Failed password for invalid user ec2-user from 198.51.100.54 port 46079 ssh2,S02,Failed password for invalid user <*> from <*> port <*> ssh2,"['ec2-user', '198.51.100.54', '46079']"
56,Jun,14,00:02:37,secops-01,sshd,23879,Failed password for invalid user backup from 198.51.100.25 port 42592 ssh2,S02,Failed password for invalid user <*> from <*> port <*> ssh2,"['backup', '198.51.100.25', '42592']"
57,Jun,14,00:02:39,secops-01,sshd,18583,Failed password for deploy from 198.51.100.165 port 65236 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['deploy', '198.51.100.165', '65236']"
58,Jun,14,00:02:39,secops-01,sudo,39189,pam_unix(sudo:session): session opened for user deploy by www-data(uid=1000),U01,pam_unix(sudo:session): session opened for user <*> by <*>(uid=<*>),"['deploy', 'www-data', '1000']"
59,Jun,14,00:02:44,secops-01,sshd,11180,Failed password for backup from 198.51.100.40 port 36779 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['backup', '198.51.100.40', '36779']"
60,Jun,14,00:02:50,secops-01,sshd,14852,pam_unix(sshd:auth): check pass; user unknown,S09,pam_unix(sshd:auth): check pass; user unknown,[]
61,Jun,14,00:02:55,secops-01,sshd,11307,Failed password for oracle from 203.0.113.240 port 53198 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['oracle', '203.0.113.240', '53198']"
62,Jun,14,00:03:01,secops-01,sshd,28346,Failed password for invalid user ec2-user from 198.51.100.92 port 52149 ssh2,S02,Failed password for invalid user <*> from <*> port <*> ssh2,"['ec2-user', '198.51.100.92', '52149']"
63,Jun,14,00:03:03,secops-01,audit,4998,USER_AUTH pid=4069 uid=0 auid=1000 user=support exe=/usr/sbin/sshd res=success,A01,USER_AUTH pid=<*> uid=<*> auid=<*> user=<*> exe=/usr/sbin/sshd res=<*>,"['4069', '0', '1000', 'support', 'success']"
64,Jun,14,00:03:06,secops-01,kernel,,[UFW BLOCK] IN=eth0 OUT= SRC=203.0.113.238 DST=10.0.5.202 PROTO=TCP SPT=62025 DPT=6379,F01,[UFW BLOCK] IN=<*> OUT= SRC=<*> DST=<*> PROTO=TCP SPT=<*> DPT=<*>,"['eth0', '203.0.113.238', '10.0.5.202', '62025', '6379']"
65,Jun,14,00:03:13,secops-01,sshd,11268,Failed password for invalid user operator from 198.51.100.99 port 58182 ssh2,S02,Failed password for invalid user <*> from <*> port <*> ssh2,"['operator', '198.51.100.99', '58182']"
66,Jun,14,00:03:16,secops-01,sshd,17457,Failed password for invalid user support from 192.0.2.91 port 21024 ssh2,S02,Failed password for invalid user <*> from <*> port <*> ssh2,"['support', '192.0.2.91', '21024']"
67,Jun,14,00:03:20,secops-01,sshd,12274,Failed password for ec2-user from 203.0.113.73 port 57670 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['ec2-user', '203.0.113.73', '57670']"
68,Jun,14,00:03:20,secops-01,sshd,20851,Invalid user guest from 203.0.113.217 port 36165,S05,Invalid user <*> from <*> port <*>,"['guest', '203.0.113.217', '36165']"
69,Jun,14,00:03:20,secops-01,sshd,18698,Failed password for oracle from 203.0.113.248 port 65481 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['oracle', '203.0.113.248', '65481']"
70,Jun,14,00:03:21,secops-01,sshd,24299,Failed password for git from 203.0.113.203 port 21581 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['git', '203.0.113.203', '21581']"
71,Jun,14,00:03:21,secops-01,sshd,24288,Invalid user nagios from 203.0.113.13 port 47474,S05,Invalid user <*> from <*> port <*>,"['nagios', '203.0.113.13', '47474']"
72,Jun,14,00:03:26,secops-01,sshd,16456,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=198.51.100.177,S08,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,['198.51.100.177']
73,Jun,14,00:03:30,secops-01,sshd,14083,Disconnected from authenticating user postgres 192.0.2.161 port 21596 [preauth],S06,Disconnected from authenticating user <*> <*> port <*> [preauth],"['postgres', '192.0.2.161', '21596']"
74,Jun,14,00:03:34,secops-01,sshd,23185,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=198.51.100.85,S08,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,['198.51.100.85']
75,Jun,14,00:03:36,secops-01,sshd,22423,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=203.0.113.172,S08,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,['203.0.113.172']
76,Jun,14,00:03:40,secops-01,sshd,10013,Received disconnect from 203.0.113.142 port 55663:11: disconnected by user [preauth],S10,Received disconnect from <*> port <*>:11: disconnected by user [preauth],"['203.0.113.142', '55663']"
77,Jun,14,00:03:47,secops-01,sshd,20559,Failed password for invalid user git from 198.51.100.157 port 43930 ssh2,S02,Failed password for invalid user <*> from <*> port <*> ssh2,"['git', '198.51.100.157', '43930']"
78,Jun,14,00:03:48,secops-01,sshd,15560,Disconnected from authenticating user postgres 203.0.113.123 port 53042 [preauth],S06,Disconnected from authenticating user <*> <*> port <*> [preauth],"['postgres', '203.0.113.123', '53042']"
79,Jun,14,00:03:52,secops-01,sshd,17696,Failed password for invalid user postgres from 198.51.100.87 port 7144 ssh2,S02,Failed password for invalid user <*> from <*> port <*> ssh2,"['postgres', '198.51.100.87', '7144']"
80,Jun,14,00:03:53,secops-01,sshd,25569,Failed password for invalid user ec2-user from 203.0.113.13 port 17070 ssh2,S02,Failed password for invalid user <*> from <*> port <*> ssh2,"['ec2-user', '203.0.113.13', '17070']"
81,Jun,14,00:04:00,secops-01,sshd,22582,Connection closed by authenticating user backup 198.51.100.51 port 48101 [preauth],S07,Connection closed by authenticating user <*> <*> port <*> [preauth],"['backup', '198.51.100.51', '48101']"
82,Jun,14,00:04:06,secops-01,sshd,13492,Invalid user ubuntu from 198.51.100.3 port 59525,S05,Invalid user <*> from <*> port <*>,"['ubuntu', '198.51.100.3', '59525']"
83,Jun,14,00:04:09,secops-01,sshd,11645,Failed password for invalid user operator from 192.0.2.134 port 31468 ssh2,S02,Failed password for invalid user <*> from <*> port <*> ssh2,"['operator', '192.0.2.134', '31468']"
84,Jun,14,00:04:14,secops-01,kernel,,[UFW BLOCK] IN=eth0 OUT= SRC=203.0.113.207 DST=10.0.7.172 PROTO=UDP SPT=35832 DPT=8443,F02,[UFW BLOCK] IN=<*> OUT= SRC=<*> DST=<*> PROTO=UDP SPT=<*> DPT=<*>,"['eth0', '203.0.113.207', '10.0.7.172', '35832', '8443']"
85,Jun,14,00:04:16,secops-01,kernel,,[UFW BLOCK] IN=ens3 OUT= SRC=198.51.100.186 DST=10.0.8.111 PROTO=ICMP TYPE=3 CODE=1,F04,[UFW BLOCK] IN=<*> OUT= SRC=<*> DST=<*> PROTO=ICMP TYPE=<*> CODE=<*>,"['ens3', '198.51.100.186', '10.0.8.111', '3', '1']"
86,Jun,14,00:04:20,secops-01,sudo,34050,pam_unix(sudo:session): session opened for user ubuntu by test(uid=1000),U01,pam_unix(sudo:session): session opened for user <*> by <*>(uid=<*>),"['ubuntu', 'test', '1000']"
87,Jun,14,00:04:23,secops-01,sudo,37939,pam_unix(sudo:session): session closed for user deploy,U02,pam_unix(sudo:session): session closed for user <*>,['deploy']
88,Jun,14,00:04:28,secops-01,sshd,21005,Failed password for invalid user admin from 198.51.100.62 port 18831 ssh2,S02,Failed password for invalid user <*> from <*> port <*> ssh2,"['admin', '198.51.100.62', '18831']"
89,Jun,14,00:04:29,secops-01,kernel,,[UFW BLOCK] IN=eth0 OUT= SRC=203.0.113.61 DST=10.0.6.179 PROTO=TCP SPT=11038 DPT=53,F01,[UFW BLOCK] IN=<*> OUT= SRC=<*> DST=<*> PROTO=TCP SPT=<*> DPT=<*>,"['eth0', '203.0.113.61', '10.0.6.179', '11038', '53']"
90,Jun,14,00:04:35,secops-01,sshd,16777,Disconnected from authenticating user deploy 203.0.113.108 port 5104 [preauth],S06,Disconnected from authenticating user <*> <*> port <*> [preauth],"['deploy', '203.0.113.108', '5104']"
91,Jun,14,00:04:41,secops-01,sshd,28864,Invalid user operator from 203.0.113.180 port 2304,S05,Invalid user <*> from <*> port <*>,"['operator', '203.0.113.180', '2304']"
92,Jun,14,00:04:44,secops-01,sshd,23730,Connection closed by authenticating user deploy 203.0.113.101 port 56955 [preauth],S07,Connection closed by authenticating user <*> <*> port <*> [preauth],"['deploy', '203.0.113.101', '56955']"
93,Jun,14,00:04:50,secops-01,sshd,21014,Connection closed by authenticating user oracle 203.0.113.9 port 26508 [preauth],S07,Connection closed by authenticating user <*> <*> port <*> [preauth],"['oracle', '203.0.113.9', '26508']"
94,Jun,14,00:04:50,secops-01,sudo,38751,pam_unix(sudo:session): session opened for user ubuntu by backup(uid=0),U01,pam_unix(sudo:session): session opened for user <*> by <*>(uid=<*>),"['ubuntu', 'backup', '0']"
95,Jun,14,00:04:50,secops-01,kernel,,[UFW BLOCK] IN=eth0 OUT= SRC=203.0.113.111 DST=10.0.2.223 PROTO=UDP SPT=31281 DPT=443,F02,[UFW BLOCK] IN=<*> OUT= SRC=<*> DST=<*> PROTO=UDP SPT=<*> DPT=<*>,"['eth0', '203.0.113.111', '10.0.2.223', '31281', '443']"
96,Jun,14,00:04:54,secops-01,sshd,22423,Failed password for invalid user deploy from 203.0.113.85 port 23142 ssh2,S02,Failed password for invalid user <*> from <*> port <*> ssh2,"['deploy', '203.0.113.85', '23142']"
97,Jun,14,00:04:54,secops-01,sudo,37705,pam_unix(sudo:session): session opened for user ubuntu by oracle(uid=0),U01,pam_unix(sudo:session): session opened for user <*> by <*>(uid=<*>),"['ubuntu', 'oracle', '0']"
98,Jun,14,00:04:54,secops-01,sudo,31124,pam_unix(sudo:session): session opened for user root by deploy(uid=0),U01,pam_unix(sudo:session): session opened for user <*> by <*>(uid=<*>),"['root', 'deploy', '0']"
99,Jun,14,00:04:57,secops-01,sudo,32496,pam_unix(sudo:session): session opened for user root by ec2-user(uid=0),U01,pam_unix(sudo:session): session opened for user <*> by <*>(uid=<*>),"['root', 'ec2-user', '0']"
100,Jun,14,00:05:01,secops-01,sshd,25238,Failed password for postgres from 203.0.113.244 port 15308 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['postgres', '203.0.113.244', '15308']"
101,Jun,14,00:05:02,secops-01,sudo,39926,pam_unix(sudo:session): session closed for user root,U02,pam_unix(sudo:session): session closed for user <*>,['root']
102,Jun,14,00:05:03,secops-01,sudo,35096,pam_unix(sudo:session): session closed for user root,U02,pam_unix(sudo:session): session closed for user <*>,['root']
103,Jun,14,00:05:09,secops-01,sshd,22298,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.0.2.149,S08,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,['192.0.2.149']
104,Jun,14,00:05:10,secops-01,kernel,,[UFW ALLOW] IN=eth0 OUT= SRC=203.0.113.178 DST=10.0.3.28 PROTO=TCP SPT=46715 DPT=3306,F03,[UFW ALLOW] IN=<*> OUT= SRC=<*> DST=<*> PROTO=TCP SPT=<*> DPT=<*>,"['eth0', '203.0.113.178', '10.0.3.28', '46715', '3306']"
105,Jun,14,00:05:15,secops-01,sudo,30672,pam_unix(sudo:session): session closed for user deploy,U02,pam_unix(sudo:session): session closed for user <*>,['deploy']
106,Jun,14,00:05:20,secops-01,sshd,26579,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=198.51.100.19,S08,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,['198.51.100.19']
107,Jun,14,00:05:27,secops-01,sshd,21868,Failed password for git from 198.51.100.29 port 29435 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['git', '198.51.100.29', '29435']"
108,Jun,14,00:05:34,secops-01,sshd,18850,Connection reset by 203.0.113.189 port 35217 [preauth],S14,Connection reset by <*> port <*> [preauth],"['203.0.113.189', '35217']"
109,Jun,14,00:05:35,secops-01,sshd,18044,Connection closed by authenticating user support 198.51.100.70 port 22146 [preauth],S07,Connection closed by authenticating user <*> <*> port <*> [preauth],"['support', '198.51.100.70', '22146']"
110,Jun,14,00:05:41,secops-01,sshd,29999,Failed password for invalid user test from 203.0.113.120 port 38369 ssh2,S02,Failed password for invalid user <*> from <*> port <*> ssh2,"['test', '203.0.113.120', '38369']"
111,Jun,14,00:05:46,secops-01,sshd,16950,Accepted publickey for test from 192.0.2.48 port 32976 ssh2,S04,Accepted publickey for <*> from <*> port <*> ssh2,"['test', '192.0.2.48', '32976']"
112,Jun,14,00:05:50,secops-01,sudo,34581,pam_unix(sudo:session): session closed for user ubuntu,U02,pam_unix(sudo:session): session closed for user <*>,['ubuntu']
113,Jun,14,00:05:53,secops-01,sshd,12805,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=203.0.113.50,S08,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,['203.0.113.50']
114,Jun,14,00:06:00,secops-01,sudo,37800,pam_unix(sudo:session): session opened for user ubuntu by guest(uid=0),U01,pam_unix(sudo:session): session opened for user <*> by <*>(uid=<*>),"['ubuntu', 'guest', '0']"
115,Jun,14,00:06:04,secops-01,sshd,17972,Disconnected from authenticating user root 203.0.113.58 port 27526 [preauth],S06,Disconnected from authenticating user <*> <*> port <*> [preauth],"['root', '203.0.113.58', '27526']"
116,Jun,14,00:06:09,secops-01,sshd,25507,input_userauth_request: invalid user deploy [preauth],S12,input_userauth_request: invalid user <*> [preauth],['deploy']
117,Jun,14,00:06:13,secops-01,sshd,24868,Disconnected from authenticating user www-data 203.0.113.92 port 47086 [preauth],S06,Disconnected from authenticating user <*> <*> port <*> [preauth],"['www-data', '203.0.113.92', '47086']"
118,Jun,14,00:06:15,secops-01,sshd,13917,Accepted password for ec2-user from 203.0.113.51 port 21703 ssh2,S03,Accepted password for <*> from <*> port <*> ssh2,"['ec2-user', '203.0.113.51', '21703']"
119,Jun,14,00:06:19,secops-01,sshd,27191,Failed password for invalid user www-data from 203.0.113.187 port 39663 ssh2,S02,Failed password for invalid user <*> from <*> port <*> ssh2,"['www-data', '203.0.113.187', '39663']"
120,Jun,14,00:06:23,secops-01,audit,1734,USER_LOGIN pid=4410 uid=0 auid=1001 user=ec2-user exe=/usr/sbin/sshd res=failed,A02,USER_LOGIN pid=<*> uid=<*> auid=<*> user=<*> exe=/usr/sbin/sshd res=<*>,"['4410', '0', '1001', 'ec2-user', 'failed']"
